WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha)
44,20,454.55
50,26,520
53.7,30,558.66
49.4,26.5,536.44
44.2,29,656.11
44.4,25.8,581.08
39.6,20.6,520.2
37.3,18.6,498.66
36.5,22.4,613.7
49.2,27.8,565.04
46.9,10,213.22
53.1,27.1,510.36
48.7,25.6,525.67
44.6,17.8,399.1
44.1,33.6,761.9
41.5,23.6,568.67
41.1,23.9,581.51
39.9,20.6,516.29
40.5,19.9,491.36
39.4,21,532.99
37,24,648.65
43,23,534.88
43.7,20.2,462.24
43.8,22.7,518.26
36.2,24.8,685.08
34.8,21.6,620.69
56.1,20.5,365.42
33.8,23.8,704.14
36.5,29.4,805.48
37.1,26.5,714.29
36.2,29.1,803.87
35.6,18.3,514.04
39.96,24.84,621.62
0,0,0
29.9,17.59,588.19
34.33,24.11,702.43
33.25,25.09,754.44
37.99,29.58,778.78
36.43,23.19,636.48
36.43,23.19,636.48
36.81,26.62,723.16
37.32,34.38,921.03
36.46,31.19,855.47
42.44,38.12,898.09
46.12,45.87,994.69
44.98,50.19,1115.68
43.87,47.69,1087.1
41.54,43.33,1043.06
44.25,50.96,1151.49
48.72,54.6,1120.74
48.94,61.84,1263.55
43.5,50.19,1153.77
2,1,500
2,1,500
2.3,1,434.78
2.3,1.5,652.17
2.4,1.9,791.67
2.5,1.5,600
2.7,1.7,629.63
2.6,1.9,730.77
2.4,2,833.33
3.7,2.9,783.78
3.3,2.2,666.67
3.3,2.6,787.88
3,2.8,933.33
3,2.4,800
2.9,3.1,1068.97
3,3.3,1100
3.2,3.9,1218.75
2.9,2.7,931.03
2.8,3,1071.43
2.6,2.6,1000
3,3,1000
3,2,666.67
2.8,3,1071.43
2.6,2.7,1038.46
2,2.4,1200
2.2,3,1363.64
1.6,2,1250
1.8,2.6,1444.44
1.6,2.4,1500
1.6,2.5,1562.5
2,3.3,1650
1.4,2.2,1571.43
2.4,3.8,1583.33
0,0,0
1.7,2.75,1617.65
2.5,3.88,1552
2.09,3.76,1799.04
2.42,3.83,1582.64
2.17,3.21,1479.26
2.17,3.21,1479.26
1.92,3.2,1666.67
1.68,3.31,1970.24
1.71,2.6,1520.47
1.64,2.95,1798.78
1.6,3.2,2000
1.33,2.49,1872.18
1.25,2.47,1976
0.97,1.75,1804.12
0.81,1.86,2296.3
0.84,1.75,2083.33
0.67,1.53,2265.58
1.24,2.22,1783.13
6,2,333.33
9,4,444.44
9.5,4,421.05
7.6,3.4,447.37
7.9,4.8,607.59
7.9,4.9,620.25
11.4,5.7,500
13.3,7.6,571.43
13.5,7.6,562.96
27.4,12.2,445.26
21.2,8.4,396.23
27.6,17.9,648.55
20,20.5,1025
14,10,714.29
16.7,19.2,1149.7
17.1,17.2,1005.85
16,17.4,1087.5
16.7,10.7,640.72
16.4,11.9,725.61
17.6,12.3,698.86
18,20,1111.11
17,16,941.18
19.5,13.7,702.56
16.4,13.1,798.78
17,18.9,1111.76
15.1,13.7,907.28
16.7,16.5,988.02
18.9,21.8,1153.44
18.4,22.4,1217.39
15.9,19.5,1226.42
14.2,16.7,1176.06
13.5,13.2,977.78
17.8,17.9,1005.62
0,0,0
8.11,10.6,1307.03
15.61,19.63,1257.53
13.19,16.9,1281.27
16.45,20.28,1232.83
14.32,14.85,1037.01
14.32,14.85,1037.01
13.09,12.16,928.95
11.42,13.08,1145.36
10.82,11.04,1020.33
12.67,18.01,1421.47
11.3,15.2,1345.13
10.54,17.89,1697.34
9.76,17.75,1818.65
9.21,15.86,1722.04
10.38,21.24,2046.24
10.99,19.3,1756.14
8.8,17.95,2038.28
14.56,23.66,1625.61
18,9,500
19,10,526.32
19.9,12,603.02
18.8,11.4,606.38
18.7,14.5,775.4
22.6,14.8,654.87
28,17.5,625
31.6,18,569.62
25.9,18.1,698.84
38.1,22.1,580.05
24.4,10.2,418.03
31.9,18,564.26
26.4,19.1,723.48
12.7,6,472.44
26.2,23.2,885.5
23.2,18,775.86
19.4,14.3,737.11
21.8,15,688.07
16.7,7.8,467.07
20.7,16.8,811.59
22,18,818.18
24.4,17.5,717.21
